UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,1 ,2,"R",387631,"R",228498,"R",106,"R",26186,"R",38684,"R",1392,"R",132581,"R",415209,"R",399869,"R",815078,"R",1879,"R",196426,"R",198305,1,"R",2542,"R",146,1,"R",26,"R",7,"R",4,"R",3,"R",12,"R",0,"R",1162701,1,"R",372120,"R",35325,"R",751351,"R",126765,"R",913441,"R",17280,"R",1098217,"R",1115497,"R",3563759,3191639
100663,1 ,2,"R",901571,"R",520306,"R",573,"R",21677,"R",25253,"R",27543,"R",123641,"R",950791,"R",669773,"R",1620564,"R",27338,"R",212934,"R",240272,1,"R",15394,"R",4776,1,"R",108.5,"R",32,"R",40,"R",24.5,"R",12,"R",1,"R",4053374,1,"R",1143798,"R",2240810,"R",8159643,"R",189585,"R",10590038,"R",14593,"R",2724855,"R",2739448,"R",18526658,17382860
100690,1 ,2,"R",53214,"R",746,"R",62,"R",0,"Z",0,"R",1220,"R",0,"R",54434,"R",808,"R",55242,"R",39,"R",35832,"R",35871,1,"R",0,"R",436,1,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",52655,2,"R",0,"R",9813,"R",79860,"R",4044,"R",93717,"R",0,"R",5038,"R",5038,"R",151410,151410
100706,1 ,2,"R",205107,"R",489643,"R",251,"R",14480,"R",86133,"R",852,"R",107650,"R",220439,"R",683677,"R",904116,"R",2747,"R",323020,"R",325767,1,"R",4489,"R",2145,1,"R",30.8,"R",10.8,"R",4,"R",7.31,"R",8.69,"R",0,"R",1298795,2,"Z",0,"R",47819,"R",1483326,"R",30547,"R",1561692,"R",4516,"R",132732,"R",137248,"R",2997735,2997735
100724,1 ,2,"R",224634,"R",110047,"R",198,"R",34696,"R",2,"R",1616,"R",7113,"R",260946,"R",117360,"R",378306,"R",517,"R",37456,"R",37973,1,"R",262,"R",19,1,"R",39,"R",13,"R",6,"R",11,"R",9,"R",0,"R",1256374,1,"R",434503,"R",45954,"R",565249,"R",0,"R",611203,"R",4623,"R",254731,"R",259354,"R",2561434,2126931
100751,1 ,2,"R",2181245,"R",2781589,"R",623,"R",199221,"R",227948,"R",72442,"R",247455,"R",2452908,"R",3257615,"R",5710523,"R",35730,"R",349569,"R",385299,1,"R",9493,"R",8233,1,"R",163,"R",56,"R",21,"R",47,"R",39,"R",6,"R",7223031,2,"Z",0,"R",1533185,"R",11095746,"R",684575,"R",13313506,"R",0,"R",2537690,"R",2537690,"R",23074227,23074227
100760,1 ,2,"R",26471,"R",8656,"R",2,"R",472,"R",0,"R",0,"R",0,"R",26943,"R",8658,"R",35601,"R",680,"R",11,"R",691,1,"R",0,"R",0,1,"R",4,"R",2,"R",1,"R",0,"R",1,"R",2,"R",213333,1,"R",50267,"R",0,"R",15594,"R",3795,"R",19389,"R",0,"R",4536,"R",4536,"R",287525,237258
100812,1 ,2,"R",90400,"R",604083,"R",148,"R",236,"R",30006,"R",81,"R",75575,"R",90717,"R",709812,"R",800529,"R",1186,"R",115942,"R",117128,1,"R",528,"R",145,1,"R",11,"R",5,"R",3,"R",0,"R",3,"R",0,"R",470659,1,"R",161154,"R",48368,"R",216226,"R",358,"R",264952,"R",0,"R",13120,"R",13120,"R",909885,748731
100830,1 ,2,"R",613706,"R",716998,"Z",0,"R",4253,"R",167,"R",959,"R",64128,"R",618918,"R",781293,"R",1400211,"R",1897,"R",1966,"R",3863,1,"R",621,"R",1182,1,"R",30,"R",8,"R",10,"R",3,"R",9,"R",0,"R",993545,1,"R",292130,"R",37560,"R",395235,"R",44887,"R",477682,"R",100,"R",107026,"R",107126,"R",1870483,1578353
100858,1 ,2,"R",1669761,"R",1485650,"R",358,"R",609736,"R",62732,"R",66353,"R",255636,"R",2345850,"R",1804376,"R",4150226,"R",45212,"R",2254953,"R",2300165,1,"R",17673,"R",6774,1,"R",160.54,"R",27,"R",35,"R",23.25,"R",75.29,"R",2,"R",6239588,1,"R",1479586,"R",1066416,"R",8449947,"R",79742,"R",9596105,"R",19124,"R",1918804,"R",1937928,"R",19253207,17773621
