UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5 
100654, 1,"R",6007,"R",429,"R",3269,"R",2309,"R",284,"R",57,"R",37,"R",0,"R",51
100654, 2,"R",5206,"R",249,"R",2987,"R",1970,"R",162,"R",57,"R",14,"R",0,"R",16
100654, 3,"R",5196,"R",246,"R",2985,"R",1965,"R",161,"R",57,"R",12,"R",0,"R",16
100654,11,"R",10,"R",3,"R",2,"R",5,"R",1,"R",0,"R",2,"R",0,"R",0
100654,12,"R",801,"R",180,"R",282,"R",339,"R",122,"R",0,"R",23,"R",0,"R",35
100663, 1,"R",21639,"R",5984,"R",8687,"R",6968,"R",4199,"R",1762,"Z",0,"R",23,"R",0
100663, 2,"R",13032,"R",2436,"R",7157,"R",3439,"R",2156,"R",277,"Z",0,"R",3,"R",0
100663, 3,"R",12776,"R",2316,"R",7125,"R",3335,"R",2041,"R",272,"Z",0,"R",3,"R",0
100663,11,"R",256,"R",120,"R",32,"R",104,"R",115,"R",5,"Z",0,"R",0,"R",0
100663,12,"R",8607,"R",3548,"R",1530,"R",3529,"R",2043,"R",1485,"Z",0,"R",20,"R",0
100690, 1,"R",647,"R",647,"A",,"A",,"R",308,"R",339,"Z",0,"Z",0,"R",0
100690, 2,"R",228,"R",228,"A",,"A",,"R",143,"R",85,"Z",0,"Z",0,"R",0
100690, 3,"R",228,"R",228,"A",,"A",,"R",143,"R",85,"Z",0,"Z",0,"R",0
100690,12,"R",419,"R",419,"A",,"A",,"R",165,"R",254,"Z",0,"Z",0,"R",0
100706, 1,"R",9237,"R",1177,"R",4507,"R",3553,"R",953,"R",210,"R",11,"R",3,"R",0
100706, 2,"R",7169,"R",481,"R",4147,"R",2541,"R",416,"R",56,"R",6,"R",3,"R",0
100706, 3,"R",6985,"R",463,"R",4109,"R",2413,"R",400,"R",54,"R",6,"R",3,"R",0
100706,11,"R",184,"R",18,"R",38,"R",128,"R",16,"R",2,"R",0,"R",0,"R",0
100706,12,"R",2068,"R",696,"R",360,"R",1012,"R",537,"R",154,"R",5,"R",0,"R",0
100724, 1,"R",3828,"R",420,"R",2413,"R",995,"R",325,"R",86,"R",7,"Z",0,"R",2
100724, 2,"R",3296,"R",133,"R",2355,"R",808,"R",89,"R",41,"R",1,"Z",0,"R",2
100724, 3,"R",3296,"R",133,"R",2355,"R",808,"R",89,"R",41,"R",1,"Z",0,"R",2
100724,12,"R",532,"R",287,"R",58,"R",187,"R",236,"R",45,"R",6,"Z",0,"R",0
100751, 1,"R",38644,"R",5820,"R",10220,"R",22604,"R",3363,"R",2376,"R",40,"R",41,"R",0
100751, 2,"R",32458,"R",3306,"R",9555,"R",19597,"R",2220,"R",1042,"R",21,"R",23,"R",0
100751, 3,"R",31360,"R",2338,"R",9536,"R",19486,"R",1380,"R",917,"R",20,"R",21,"R",0
100751,11,"R",1098,"R",968,"R",19,"R",111,"R",840,"R",125,"R",1,"R",2,"R",0
100751,12,"R",6186,"R",2514,"R",665,"R",3007,"R",1143,"R",1334,"R",19,"R",18,"R",0
100760, 1,"R",1777,"R",392,"R",596,"R",789,"R",392,"R",0,"R",0,"R",0,"R",0
100760, 2,"R",1777,"R",392,"R",596,"R",789,"R",392,"R",0,"R",0,"R",0,"R",0
100760, 3,"R",963,"R",164,"R",426,"R",373,"R",164,"R",0,"R",0,"R",0,"R",0
100760,11,"R",814,"R",228,"R",170,"R",416,"R",228,"R",0,"R",0,"R",0,"R",0
100812, 1,"R",2894,"R",1832,"R",843,"R",219,"R",1684,"R",144,"R",0,"R",4,"R",0
100812, 2,"R",2520,"R",1460,"R",841,"R",219,"R",1384,"R",73,"R",0,"R",3,"R",0
100812, 3,"R",2465,"R",1411,"R",840,"R",214,"R",1341,"R",70,"R",0,"R",0,"R",0
100812,11,"R",55,"R",49,"R",1,"R",5,"R",43,"R",3,"R",0,"R",3,"R",0
100812,12,"R",374,"R",372,"R",2,"R",0,"R",300,"R",71,"R",0,"R",1,"R",0
100830, 1,"R",5109,"R",993,"R",2098,"R",2018,"R",982,"R",10,"R",0,"R",1,"R",0
100830, 2,"R",3754,"R",582,"R",1576,"R",1596,"R",571,"R",10,"R",0,"R",1,"R",0
100830, 3,"R",3307,"R",445,"R",1546,"R",1316,"R",442,"R",2,"R",0,"R",1,"R",0
100830,11,"R",447,"R",137,"R",30,"R",280,"R",129,"R",8,"R",0,"R",0,"R",0
100830,12,"R",1355,"R",411,"R",522,"R",422,"R",411,"R",0,"R",0,"R",0,"R",0
100858, 1,"R",31764,"R",3101,"R",10493,"R",18170,"R",1470,"R",1600,"R",6,"R",1,"R",24
100858, 2,"R",25379,"R",1094,"R",9742,"R",14543,"R",736,"R",347,"R",1,"R",1,"R",9
100858, 3,"R",25234,"R",1091,"R",9728,"R",14415,"R",733,"R",347,"R",1,"R",1,"R",9
100858,11,"R",145,"R",3,"R",14,"R",128,"R",3,"R",0,"R",0,"R",0,"R",0
100858,12,"R",6385,"R",2007,"R",751,"R",3627,"R",734,"R",1253,"R",5,"R",0,"R",15
100937, 1,"R",975,"R",0,"R",0,"R",975,"A",,"A",,"A",,"A",,"A",
100937, 2,"R",975,"R",0,"R",0,"R",975,"A",,"A",,"A",,"A",,"A",
100937, 3,"R",968,"R",0,"R",0,"R",968,"A",,"A",,"A",,"A",,"A",
100937,11,"R",7,"R",0,"R",0,"R",7,"A",,"A",,"A",,"A",,"A",
101028, 1,"R",1641,"R",250,"R",465,"R",926,"R",188,"R",62,"R",0,"R",0,"R",0
101028, 2,"R",1641,"R",250,"R",465,"R",926,"R",188,"R",62,"R",0,"R",0,"R",0
101028, 3,"R",1101,"R",220,"R",445,"R",436,"R",158,"R",62,"R",0,"R",0,"R",0
101028,11,"R",540,"R",30,"R",20,"R",490,"R",30,"R",0,"R",0,"R",0,"R",0
101116, 1,"R",361,"R",198,"R",55,"R",108,"R",194,"R",4,"Z",0,"Z",0,"R",0
101116, 2,"R",315,"R",157,"R",54,"R",104,"R",153,"R",4,"Z",0,"Z",0,"R",0
101116, 3,"R",315,"R",157,"R",54,"R",104,"R",153,"R",4,"Z",0,"Z",0,"R",0
101116,12,"R",46,"R",41,"R",1,"R",4,"R",41,"Z",0,"Z",0,"Z",0,"R",0
101143, 1,"R",2010,"R",568,"R",605,"R",837,"R",546,"R",22,"R",0,"R",0,"R",0
101143, 2,"R",2010,"R",568,"R",605,"R",837,"R",546,"R",22,"R",0,"R",0,"R",0
101143, 3,"R",1359,"R",330,"R",476,"R",553,"R",308,"R",22,"R",0,"R",0,"R",0
101143,11,"R",651,"R",238,"R",129,"R",284,"R",238,"R",0,"R",0,"R",0,"R",0
101161, 1,"R",6800,"R",1789,"R",2016,"R",2995,"R",1749,"R",40,"Z",0,"Z",0,"R",0
101161, 2,"R",6800,"R",1789,"R",2016,"R",2995,"R",1749,"R",40,"Z",0,"Z",0,"R",0
101161, 3,"R",4809,"R",1289,"R",1949,"R",1571,"R",1252,"R",37,"Z",0,"Z",0,"R",0
101161,11,"R",1991,"R",500,"R",67,"R",1424,"R",497,"R",3,"Z",0,"Z",0,"R",0
101189, 1,"R",2817,"R",1137,"R",354,"R",1326,"R",811,"R",326,"Z",0,"Z",0,"R",0
101189, 2,"R",1792,"R",670,"R",317,"R",805,"R",501,"R",169,"Z",0,"Z",0,"R",0
101189, 3,"R",1587,"R",666,"R",317,"R",604,"R",497,"R",169,"Z",0,"Z",0,"R",0
101189,11,"R",205,"R",4,"R",0,"R",201,"R",4,"Z",0,"Z",0,"Z",0,"R",0
101189,12,"R",1025,"R",467,"R",37,"R",521,"R",310,"R",157,"Z",0,"Z",0,"R",0
101240, 1,"R",4352,"R",1155,"R",1696,"R",1501,"R",1126,"R",29,"R",0,"R",0,"R",0
101240, 2,"R",4352,"R",1155,"R",1696,"R",1501,"R",1126,"R",29,"R",0,"R",0,"R",0
101240, 3,"R",3446,"R",785,"R",1584,"R",1077,"R",757,"R",28,"R",0,"R",0,"R",0
101240,11,"R",906,"R",370,"R",112,"R",424,"R",369,"R",1,"R",0,"R",0,"R",0
101277, 1,"R",45,"A",,"A",,"R",45,"A",,"A",,"A",,"A",,"A",
101277, 2,"R",45,"A",,"A",,"R",45,"A",,"A",,"A",,"A",,"A",
101277, 3,"R",45,"A",,"A",,"R",45,"A",,"A",,"A",,"A",,"A",
101286, 1,"R",3832,"R",637,"R",1006,"R",2189,"R",589,"R",47,"R",1,"R",0,"R",0
101286, 2,"R",3832,"R",637,"R",1006,"R",2189,"R",589,"R",47,"R",1,"R",0,"R",0
101286, 3,"R",3069,"R",504,"R",980,"R",1585,"R",459,"R",44,"R",1,"R",0,"R",0
101286,11,"R",763,"R",133,"R",26,"R",604,"R",130,"R",3,"R",0,"R",0,"R",0
101295, 1,"R",5965,"R",1172,"R",1789,"R",3004,"R",1161,"R",10,"R",1,"R",0,"R",0
101295, 2,"R",5965,"R",1172,"R",1789,"R",3004,"R",1161,"R",10,"R",1,"R",0,"R",0
101295, 3,"R",4207,"R",965,"R",1633,"R",1609,"R",954,"R",10,"R",1,"R",0,"R",0
101295,11,"R",1758,"R",207,"R",156,"R",1395,"R",207,"R",0,"R",0,"R",0,"R",0
101301, 1,"R",1860,"R",874,"R",310,"R",676,"R",867,"R",7,"R",0,"R",0,"R",0
101301, 2,"R",1860,"R",874,"R",310,"R",676,"R",867,"R",7,"R",0,"R",0,"R",0
101301, 3,"R",856,"R",329,"R",228,"R",299,"R",325,"R",4,"R",0,"R",0,"R",0
101301,11,"R",1004,"R",545,"R",82,"R",377,"R",542,"R",3,"R",0,"R",0,"R",0
101365, 1,"R",578,"R",197,"R",108,"R",273,"R",182,"R",15,"Z",0,"Z",0,"R",0
101365, 2,"R",570,"R",189,"R",108,"R",273,"R",174,"R",15,"Z",0,"Z",0,"R",0
101365, 3,"R",570,"R",189,"R",108,"R",273,"R",174,"R",15,"Z",0,"Z",0,"R",0
101365,12,"R",8,"R",8,"R",0,"R",0,"R",8,"Z",0,"Z",0,"Z",0,"R",0
101435, 1,"R",817,"R",0,"R",280,"R",537,"A",,"A",,"A",,"A",,"A",
101435, 2,"R",812,"R",0,"R",280,"R",532,"A",,"A",,"A",,"A",,"A",
101435, 3,"R",810,"R",0,"R",280,"R",530,"A",,"A",,"A",,"A",,"A",
101435,11,"R",2,"R",0,"R",0,"R",2,"A",,"A",,"A",,"A",,"A",
101435,12,"R",5,"A",,"A",,"R",5,"A",,"A",,"A",,"A",,"A",
101453, 1,"R",143,"R",110,"R",17,"R",16,"R",26,"R",79,"R",0,"R",5,"R",0
101453, 2,"R",82,"R",56,"R",11,"R",15,"R",11,"R",43,"R",0,"R",2,"R",0
101453, 3,"R",72,"R",47,"R",11,"R",14,"R",8,"R",37,"R",0,"R",2,"R",0
101453,11,"R",10,"R",9,"R",0,"R",1,"R",3,"R",6,"R",0,"R",0,"R",0
101453,12,"R",61,"R",54,"R",6,"R",1,"R",15,"R",36,"R",0,"R",3,"R",0
101462, 1,"R",976,"R",100,"R",379,"R",497,"R",98,"R",2,"R",0,"R",0,"R",0
101462, 2,"R",976,"R",100,"R",379,"R",497,"R",98,"R",2,"R",0,"R",0,"R",0
101462, 3,"R",698,"R",87,"R",370,"R",241,"R",85,"R",2,"R",0,"R",0,"R",0
101462,11,"R",278,"R",13,"R",9,"R",256,"R",13,"R",0,"R",0,"R",0,"R",0
