UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",798,"R",798
100654, 2,  2,"R",3,"R",3
100654, 4,  4,"R",2,"R",2
100654, 5,  5,"R",4,"R",4
100654, 6,  6,"R",22,"R",22
100654,10, 10,"R",1,"R",1
100654,11, 11,"R",9,"R",9
100654,12, 12,"R",52,"R",52
100654,13, 13,"R",133,"R",133
100654,17, 17,"R",74,"R",74
100654,18, 18,"R",15,"R",15
100654,20, 20,"R",1,"R",1
100654,21, 21,"R",8,"R",8
100654,22, 22,"R",11,"R",11
100654,24, 24,"R",14,"R",14
100654,25, 25,"R",4,"R",4
100654,26, 26,"R",28,"R",28
100654,27, 27,"R",2,"R",2
100654,28, 28,"R",20,"R",20
100654,29, 29,"R",40,"R",40
100654,32, 32,"R",1,"R",1
100654,34, 34,"R",1,"R",1
100654,36, 36,"R",2,"R",2
100654,37, 37,"R",1,"R",1
100654,39, 39,"R",29,"R",29
100654,40, 40,"R",1,"R",1
100654,42, 42,"R",2,"R",2
100654,45, 45,"R",4,"R",4
100654,47, 47,"R",87,"R",87
100654,48, 48,"R",16,"R",16
100654,51, 51,"R",4,"R",4
100654,53, 53,"R",4,"R",4
100654,55, 55,"R",2,"R",2
100654,58,999,"R",1395,"R",1395
100654,98, 98,"R",162,"A",
100654,99, 99,"R",1557,"R",1395
100663, 1,  1,"R",1821,"R",1801
100663, 4,  4,"R",1,"R",1
100663, 5,  5,"R",2,"R",2
100663, 6,  6,"R",5,"R",5
100663, 8,  8,"R",4,"R",3
100663,12, 12,"R",29,"R",28
100663,13, 13,"R",121,"R",120
100663,17, 17,"R",15,"R",14
100663,18, 18,"R",6,"R",5
100663,19, 19,"R",2,"R",2
100663,21, 21,"R",8,"R",8
100663,22, 22,"R",17,"R",17
100663,24, 24,"R",3,"R",3
100663,25, 25,"R",1,"R",1
100663,26, 26,"R",3,"R",3
100663,27, 27,"R",4,"R",4
100663,28, 28,"R",28,"R",28
100663,29, 29,"R",4,"R",4
100663,31, 31,"R",1,"R",1
100663,33, 33,"R",1,"R",1
100663,34, 34,"R",2,"R",2
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",2,"R",2
100663,37, 37,"R",10,"R",10
100663,38, 38,"R",1,"R",1
100663,39, 39,"R",6,"R",6
100663,40, 40,"R",2,"R",2
100663,42, 42,"R",1,"R",1
100663,45, 45,"R",4,"R",4
100663,47, 47,"R",55,"R",55
100663,48, 48,"R",16,"R",16
100663,49, 49,"R",2,"R",2
100663,50, 50,"R",1,"R",1
100663,51, 51,"R",3,"R",3
100663,53, 53,"R",2,"R",2
100663,55, 55,"R",2,"R",2
100663,58,999,"R",2186,"R",2161
100663,90, 90,"R",31,"R",29
100663,99, 99,"R",2217,"R",2190
100706, 1,  1,"R",838,"R",679
100706, 4,  4,"R",1,"R",1
100706, 6,  6,"R",5,"R",5
100706, 8,  8,"R",1,"R",1
100706,10, 10,"R",2,"R",2
100706,12, 12,"R",6,"R",5
100706,13, 13,"R",27,"R",23
100706,16, 16,"R",1,"R",1
100706,17, 17,"R",19,"R",18
100706,18, 18,"R",8,"R",7
100706,20, 20,"R",2,"R",1
100706,21, 21,"R",17,"R",12
100706,22, 22,"R",10,"R",9
100706,23, 23,"R",1,"R",1
100706,24, 24,"R",2,"R",2
100706,25, 25,"R",1,"R",1
100706,26, 26,"R",1,"R",1
100706,27, 27,"R",4,"R",3
100706,28, 28,"R",6,"R",5
100706,29, 29,"R",8,"R",7
100706,36, 36,"R",2,"R",2
100706,37, 37,"R",5,"R",4
100706,39, 39,"R",4,"R",4
100706,40, 40,"R",2,"R",2
100706,41, 41,"R",1,"R",0
100706,42, 42,"R",3,"R",3
100706,44, 44,"R",1,"R",1
100706,45, 45,"R",10,"R",9
100706,47, 47,"R",148,"R",139
100706,48, 48,"R",5,"R",3
100706,51, 51,"R",8,"R",7
100706,53, 53,"R",2,"R",2
100706,54, 54,"R",2,"R",2
100706,55, 55,"R",2,"R",2
100706,58,999,"R",1155,"R",964
100706,90, 90,"R",17,"R",1
100706,99, 99,"R",1172,"R",965
100724, 1,  1,"R",345,"R",341
