UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1547,"R",1771,"R",87,"R",1417,"R",0,"R",0,"R",1417,"R",840,"R",59,"R",60,"R",0,"R",0,"R",60,"R",15,"R",25,"R",19
100663,"R",2172,"R",3477,"R",62,"R",2353,"R",3,"R",0,"R",2350,"R",1937,"R",82,"R",54,"R",0,"R",0,"R",54,"R",29,"R",54,"R",18
100690,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
100706,"R",1154,"R",1890,"R",61,"R",1191,"R",0,"R",0,"R",1191,"R",955,"R",80,"R",13,"R",0,"R",0,"R",13,"R",4,"R",31,"R",17
100724,"R",938,"R",1067,"R",88,"R",797,"R",0,"R",0,"R",797,"R",475,"R",60,"R",93,"R",0,"R",0,"R",93,"R",19,"R",20,"R",14
100751,"R",7981,"R",9538,"R",84,"R",7540,"R",1,"R",0,"R",7539,"R",6535,"R",87,"R",53,"R",0,"R",0,"R",53,"R",32,"R",60,"R",19
100760,"R",270,"R",917,"R",29,"R",219,"R",0,"R",0,"R",219,"R",136,"R",62,"R",74,"R",0,"R",0,"R",74,"R",26,"R",35,"R",16
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
100830,"R",384,"R",794,"R",48,"R",517,"R",1,"R",0,"R",516,"R",362,"R",70,"R",22,"R",0,"R",0,"R",22,"R",5,"R",23,"R",15
100858,"R",5282,"R",6466,"R",82,"R",5253,"R",5,"R",0,"R",5248,"R",4860,"R",93,"R",57,"R",1,"R",0,"R",56,"R",41,"R",73,"R",20
100937,"R",244,"R",271,"R",90,"R",244,"R",0,"R",0,"R",244,"R",189,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
101028,"R",191,"R",839,"R",23,"R",172,"R",0,"R",0,"R",172,"R",105,"R",61,"R",99,"R",0,"R",0,"R",99,"R",21,"R",21,"R",15
101116,"R",13,"R",87,"R",15,"R",6,"R",0,"R",0,"R",6,"R",1,"R",17,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",13
101143,"R",354,"R",1013,"R",35,"R",340,"R",0,"R",0,"R",340,"R",213,"R",63,"R",76,"R",0,"R",0,"R",76,"R",35,"R",46,"R",17
101161,"R",1191,"R",3174,"R",38,"R",1047,"R",0,"R",0,"R",1047,"R",645,"R",62,"R",328,"R",0,"R",0,"R",328,"R",137,"R",42,"R",15
101189,"R",206,"R",627,"R",33,"R",209,"R",0,"R",0,"R",209,"R",132,"R",63,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",13
101240,"R",808,"R",1919,"R",42,"R",625,"R",0,"R",0,"R",625,"R",407,"R",65,"R",206,"R",0,"R",0,"R",206,"R",85,"R",41,"R",17
101277,"A",,"A",,"A",,"R",39,"Z",0,"R",0,"R",39,"R",22,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
101286,"R",494,"R",1454,"R",34,"R",514,"Z",0,"Z",0,"R",514,"R",333,"R",65,"R",285,"Z",0,"Z",0,"R",285,"R",129,"R",45,"R",14
101295,"R",947,"R",3166,"R",30,"R",961,"R",0,"R",0,"R",961,"R",636,"R",66,"R",319,"R",0,"R",0,"R",319,"R",157,"R",49,"R",19
101301,"R",238,"R",1018,"R",23,"R",219,"Z",0,"Z",0,"R",219,"R",125,"R",57,"R",50,"Z",0,"Z",0,"R",50,"R",24,"R",48,"R",15
101365,"R",15,"R",141,"R",11,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",14
101435,"R",258,"R",297,"R",87,"R",250,"R",0,"R",0,"R",250,"R",162,"R",65,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",14
101453,"R",3,"R",21,"R",14,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",8
101462,"R",68,"R",500,"R",14,"R",57,"R",0,"R",0,"R",57,"R",27,"R",47,"R",52,"R",0,"R",0,"R",52,"R",12,"R",23,"R",12
101471,"R",392,"R",532,"R",74,"R",178,"R",0,"R",0,"R",178,"R",116,"R",65,"R",67,"R",0,"R",0,"R",67,"R",35,"R",52,"R",11
101480,"R",1911,"R",3203,"R",60,"R",1782,"R",0,"R",0,"R",1782,"R",1170,"R",66,"R",36,"R",0,"R",0,"R",36,"R",10,"R",28,"R",19
101505,"R",770,"R",4088,"R",19,"R",854,"R",0,"R",0,"R",854,"R",518,"R",61,"R",599,"R",0,"R",0,"R",599,"R",228,"R",38,"R",18
101514,"R",997,"R",3199,"R",31,"R",886,"R",0,"R",0,"R",886,"R",570,"R",64,"R",738,"R",0,"R",0,"R",738,"R",316,"R",43,"R",20
101569,"R",422,"R",1276,"R",33,"R",426,"R",0,"R",0,"R",426,"R",257,"R",60,"R",244,"R",0,"R",0,"R",244,"R",77,"R",32,"R",16
101587,"R",300,"R",790,"R",38,"R",301,"R",0,"R",0,"R",301,"R",208,"R",69,"R",3,"R",0,"R",1,"R",4,"R",1,"R",25,"R",18
101602,"R",369,"R",1287,"R",29,"R",383,"R",0,"R",0,"R",383,"R",244,"R",64,"R",47,"R",0,"R",0,"R",47,"R",20,"R",43,"R",16
101648,"R",195,"R",212,"R",92,"R",179,"R",0,"R",0,"R",179,"R",73,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
101675,"R",296,"R",414,"R",71,"R",380,"R",0,"R",0,"R",380,"R",218,"R",57,"R",4,"R",0,"R",0,"R",4,"R",2,"R",50,"R",14
101693,"R",272,"R",655,"R",42,"R",250,"R",0,"Z",0,"R",250,"R",170,"R",68,"R",3,"R",0,"R",0,"R",3,"R",3,"R",100,"R",14
101709,"R",540,"R",709,"R",76,"R",478,"R",0,"R",0,"R",478,"R",350,"R",73,"R",15,"R",0,"R",0,"R",15,"R",4,"R",27,"R",12
