UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
100654, 1,"R",6681,"R",417,"R",4744,"R",1520
100654, 2,"R",5663,"R",245,"R",4170,"R",1248
100654, 3,"R",5621,"R",230,"R",4161,"R",1230
100654,11,"R",42,"R",15,"R",9,"R",18
100654,12,"R",1018,"R",172,"R",574,"R",272
100663, 1,"R",25963,"R",7858,"R",12675,"R",5430
100663, 2,"R",15360,"R",3195,"R",10124,"R",2041
100663, 3,"R",14780,"R",2933,"R",9983,"R",1864
100663,11,"R",580,"R",262,"R",141,"R",177
100663,12,"R",10603,"R",4663,"R",2551,"R",3389
100690, 1,"R",916,"R",916,"A",,"A",
100690, 2,"R",351,"R",351,"A",,"A",
100690, 3,"R",351,"R",351,"A",,"A",
100690,12,"R",565,"R",565,"A",,"A",
100706, 1,"R",11142,"R",1677,"R",7188,"R",2277
100706, 2,"R",8536,"R",897,"R",6237,"R",1402
100706, 3,"R",8085,"R",674,"R",6144,"R",1267
100706,11,"R",451,"R",223,"R",93,"R",135
100706,12,"R",2606,"R",780,"R",951,"R",875
100724, 1,"R",4425,"R",563,"R",3335,"R",527
100724, 2,"R",3899,"R",275,"R",3159,"R",465
100724, 3,"R",3898,"R",275,"R",3159,"R",464
100724,11,"R",1,"R",0,"R",0,"R",1
100724,12,"R",526,"R",288,"R",176,"R",62
100751, 1,"R",42327,"R",8207,"R",16842,"R",17278
100751, 2,"R",34616,"R",4865,"R",15263,"R",14488
100751, 3,"R",33078,"R",3572,"R",15197,"R",14309
100751,11,"R",1538,"R",1293,"R",66,"R",179
100751,12,"R",7711,"R",3342,"R",1579,"R",2790
100760, 1,"R",2218,"R",697,"R",954,"R",567
100760, 2,"R",2218,"R",697,"R",954,"R",567
100760, 3,"R",1247,"R",350,"R",682,"R",215
100760,11,"R",971,"R",347,"R",272,"R",352
100812, 1,"R",3844,"R",2300,"R",1305,"R",239
100812, 2,"R",3466,"R",1922,"R",1305,"R",239
100812, 3,"R",3288,"R",1751,"R",1303,"R",234
100812,11,"R",178,"R",171,"R",2,"R",5
100812,12,"R",378,"R",378,"R",0,"R",0
100830, 1,"R",6309,"R",1232,"R",3544,"R",1533
100830, 2,"R",4796,"R",708,"R",2910,"R",1178
100830, 3,"R",4184,"R",498,"R",2790,"R",896
100830,11,"R",612,"R",210,"R",120,"R",282
100830,12,"R",1513,"R",524,"R",634,"R",355
100858, 1,"R",34059,"R",4065,"R",12064,"R",17930
100858, 2,"R",26736,"R",1647,"R",11028,"R",14061
100858, 3,"R",26520,"R",1632,"R",11013,"R",13875
100858,11,"R",216,"R",15,"R",15,"R",186
100858,12,"R",7323,"R",2418,"R",1036,"R",3869
100937, 1,"R",1105,"R",3,"R",162,"R",940
100937, 2,"R",1105,"R",3,"R",162,"R",940
100937, 3,"R",1090,"R",3,"R",162,"R",925
100937,11,"R",15,"R",0,"R",0,"R",15
101028, 1,"R",1867,"R",298,"R",890,"R",679
101028, 2,"R",1867,"R",298,"R",890,"R",679
101028, 3,"R",1444,"R",241,"R",792,"R",411
101028,11,"R",423,"R",57,"R",98,"R",268
101116, 1,"R",655,"R",289,"R",183,"R",183
101116, 2,"R",568,"R",227,"R",170,"R",171
101116, 3,"R",546,"R",223,"R",169,"R",154
101116,11,"R",22,"R",4,"R",1,"R",17
101116,12,"R",87,"R",62,"R",13,"R",12
101143, 1,"R",2539,"R",725,"R",915,"R",899
