UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07   
101116,"R",2865382,"R",0,"R",819082,"R",0,"R",338245,"R",0,"R",2527137,"R",2865382,"R",0,"R",1247300,"R",412894,"R",0,"R",134740,"R",1794934,"R",975852,"R",819082,"R",5850359,"R",6495658,"R",0,"R",-645299,"R",954479,"R",2218958,"R",-1001,"R",2527137,"R",1062403,"R",476721,"R",132380,"R",132380,"R",0,"R",556291,"R",2227795,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4070933,"R",1539124,"R",0,"R",1539124,"R",132380,"R",0,"R",132380,"R",0,"R",0,"R",0,"R",0,"R",0,"R",104183,"R",0,"R",3739,"R",5850359,"R",2432459,"R",1314281,"R",0,"R",0,"R",0,"R",0,"R",165393,"R",114902,"R",755808,"R",678166,"R",2910487,"R",253772,"R",0,"R",0,"R",0,"R",0,"R",0,"R",231511,"R",182881,"R",6495658,"R",2544002,"R",143417,"R",1396568,"R",234901,"R",0,"R",2176770,"R",0,"R",0, 1,"R",-645299,"R",5850359,"R",2527137,"R",2865382,"R",954479,"R",0,"R",6495658
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",351570,"R",0,"R",0,"R",0,"R",0,"R",0,"R",351570,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",712708,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",96375,"A",,"A",,"R",0,"R",809083,"R",233354,"R",117348,"Z",0,"Z",0,"Z",0,"Z",0,"R",23552,"R",23552,"R",17924,"R",17924,"R",277575,"R",115004,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",552405,"R",273828,"R",8011,"R",174458,"R",3811,"R",0,"R",92297,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102845,"R",42184017,"R",0,"R",964233,"R",1389277,"R",3632201,"R",0,"R",38551816,"R",42184017,"R",0,"R",9261520,"R",7752942,"R",4250,"R",0,"R",17018712,"R",16054479,"R",964233,"R",42171107,"R",42926506,"R",-236738,"R",-992137,"Z",0,"R",39543953,"R",0,"R",38551816,"R",10793862,"R",4354207,"R",1713431,"R",1291426,"R",422005,"R",6023607,"R",22885107,"R",6023607,"R",0,"R",6023607,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6023607,"R",6023607,"R",0,"R",42079759,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",91348,"Z",0,"Z",0,"Z",0,"R",0,"R",42171107,"R",15785897,"R",7692505,"R",0,"R",0,"R",0,"R",0,"R",3127602,"R",2088707,"R",15472611,"R",6690156,"R",7068724,"R",3078107,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1471672,"R",70541,"R",42926506,"R",19620016,"R",3873350,"R",5310938,"R",768915,"R",0,"R",13353287,"R",0,"R",0, 1,"R",-992137,"R",42171107,"R",38551816,"R",42184017,"R",36198306,"R",0,"R",42926506
103501,"R",6342937,"R",2396821,"R",2469904,"R",0,"R",2255537,"R",365168,"R",4087400,"R",6342937,"R",450000,"R",2775507,"R",637441,"R",0,"R",1089784,"R",4952732,"R",2482828,"R",2469904,"R",5342408,"R",4169730,"R",0,"R",1172678,"R",0,"R",3215392,"R",-300670,"R",4087400,"R",1184109,"R",422519,"R",737768,"R",737768,"R",0,"R",5500,"R",2349896,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4341845,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",904154,"R",96409,"R",0,"A",,"R",0,"R",5342408,"R",1744406,"R",688029,"R",0,"R",0,"Z",0,"R",0,"R",2245616,"R",1042237,"R",144108,"R",142594,"R",35600,"R",20775,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",4169730,"R",1893635,"R",49110,"R",31073,"R",0,"R",0,"R",2195912,"A",,"A",,-2,"R",0,"R",5342408,"R",4087400,"R",6342937,"R",1117496,"R",365168,"R",4169730
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",676220,"R",254973,"R",75384,"R",75384,"R",0,"R",36994,"R",1043571,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1548620,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",104436,"A",,"A",,"R",247737,"R",1900793,"R",1109822,"R",374400,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37996,"R",32259,"R",199979,"R",133000,"A",,"A",,"R",0,"A",,"A",,"R",1,"R",0,"R",1347798,"R",539659,"R",95985,"R",383804,"R",10331,"R",0,"R",318019,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4566341,"R",36200,"R",0,"R",0,"R",0,"R",4190,"R",4606731,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16543969,"R",4602541,"R",0,"R",4602541,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4190,"R",0,"R",0,"R",0,"A",,"R",44223,"R",21194923,"R",7222756,"R",3728672,"R",0,"R",0,"R",0,"R",0,"R",236255,"R",62516,"R",2472172,"R",1354515,"R",7781840,"R",1599036,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",17713023,"R",6744739,"R",625166,"R",436092,"R",370271,"R",28,"R",9536727,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2061078,"R",42650,"R",0,"R",0,"R",0,"R",0,"R",2103728,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8989819,"R",2103728,"R",0,"R",2103728,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",34871,"R",11128418,"R",5249193,"R",2914892,"Z",0,"Z",0,"Z",0,"Z",0,"R",56903,"R",9047,"R",1281747,"R",815190,"R",4592479,"R",1247840,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",11180322,"R",4986969,"R",516561,"R",431055,"R",93655,"R",0,"R",5152082,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2177862,"R",56500,"R",0,"R",0,"R",0,"R",0,"R",2234362,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5694897,"R",2234362,"R",0,"R",2234362,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",53529,"R",7982788,"R",2926398,"R",1594813,"R",0,"R",0,"R",0,"R",0,"R",129292,"R",47819,"R",990458,"R",584372,"R",3050349,"R",888557,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",7096497,"R",3115561,"R",298711,"R",192244,"R",294689,"R",0,"R",3195292,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",188375,"R",10943,"R",0,"R",0,"R",0,"R",0,"R",199318,"R",500,"R",0,"R",500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",500,"R",500,"R",0,"R",489383,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",950,"R",41965,"A",,"A",,"R",0,"R",532298,"R",71014,"R",71014,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",51004,"R",51004,"R",243135,"R",138958,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",365153,"R",260976,"R",0,"R",51437,"R",0,"R",950,"R",51790,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103963,"R",1004224,"R",201500,"R",472154,"Z",0,"R",616014,"Z",0,"R",388210,"R",1004224,"R",0,"R",922001,"R",869199,"Z",0,"Z",0,"R",1791200,"R",1319046,"R",472154,"R",6638477,"R",6794710,"R",99130,"R",-57103,"R",131027,"R",314286,"R",0,"R",388210,"R",1696260,"R",25534,"Z",0,"Z",0,"Z",0,"Z",0,"R",1721794,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6631844,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"A",,"R",6633,"R",6638477,"R",2878315,"R",1399201,"Z",0,"Z",0,"Z",0,"Z",0,"R",604020,"R",390226,"R",374574,"R",224281,"R",653494,"R",422902,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",2284307,"R",0,"R",6794710,"R",2436610,"R",486565,"R",835726,"R",83525,"R",0,"R",2952284,"R",-2785000,"R",200000, 1,"R",-57103,"R",6638477,"R",388210,"R",1004224,"R",-83944,"R",0,"R",6794710
