UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1001,"R",3,"R",998,"R",105,"R",11,"R",286,"R",29,"R",0,"R",998,"R",33,"R",21,"R",319,"R",32,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1718,"R",4,"R",1714,"R",654,"R",38,"R",1048,"R",61,"R",1,"R",1713,"R",40,"R",15,"R",1088,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",4,"R",0,"R",4,"R",1,"R",25,"R",1,"R",25,"R",0,"R",4,"Z",0,"R",0,"R",1,"R",25,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",714,"R",0,"R",714,"R",222,"R",31,"R",408,"R",57,"R",0,"R",714,"R",30,"R",12,"R",438,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1067,"R",0,"R",1067,"R",156,"R",15,"R",339,"R",32,"R",0,"R",1067,"R",31,"R",5,"R",370,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",6794,"R",3,"R",6791,"R",3552,"R",52,"R",4899,"R",72,"R",0,"R",6791,"R",79,"R",30,"R",4978,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",315,"R",0,"R",315,"R",43,"R",14,"R",69,"R",22,"R",0,"R",315,"R",16,"R",5,"R",85,"R",27
100830,"R",557,"R",1,"R",556,"R",53,"R",10,"R",169,"R",30,"R",0,"R",556,"R",20,"R",11,"R",189,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",4552,"R",3,"R",4549,"R",2325,"R",51,"R",3580,"R",79,"R",0,"R",4549,"R",66,"R",20,"R",3646,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",352,"R",1,"R",351,"R",228,"R",65,"R",249,"R",71,"Z",0,"R",351,"R",0,"Z",0,"R",249,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",329,"R",0,"R",329,"R",29,"R",9,"R",52,"R",16,"R",0,"R",329,"R",4,"R",18,"R",56,"R",17
101116,"R",17,"R",0,"R",17,"R",2,"R",12,"R",3,"R",18,"Z",0,"R",17,"R",0,"Z",0,"R",3,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",317,"R",0,"R",317,"R",58,"R",18,"R",95,"R",30,"R",0,"R",317,"R",17,"R",6,"R",112,"R",35
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1441,"R",0,"R",1441,"R",266,"R",18,"R",362,"R",25,"R",0,"R",1441,"R",28,"R",27,"R",390,"R",27
101189,"R",373,"R",3,"R",370,"R",59,"R",16,"R",101,"R",27,"R",0,"R",370,"R",3,"R",2,"R",104,"R",28,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",865,"R",0,"R",865,"R",165,"R",19,"R",234,"R",27,"R",0,"R",865,"R",55,"R",71,"R",289,"R",33
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",30,"R",0,"R",30,"R",4,"R",13,"R",22,"R",73,"Z",0,"R",30,"R",0,"Z",0,"R",22,"R",73
101286,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",659,"R",0,"R",659,"R",100,"R",15,"R",172,"R",26,"R",0,"R",659,"R",45,"R",0,"R",217,"R",33
101295,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",934,"R",0,"R",934,"R",303,"R",32,"R",416,"R",45,"R",0,"R",934,"R",24,"R",24,"R",440,"R",47
101301,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",279,"R",1,"R",278,"R",60,"R",22,"R",98,"R",35,"R",0,"R",278,"R",13,"R",12,"R",111,"R",40
101365,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,"R",227,"R",0,"R",227,"R",74,"R",33,"R",95,"R",42,"Z",0,"R",227,"R",0,"Z",0,"R",95,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101453,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101462,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",74,"R",0,"R",74,"R",7,"R",9,"R",10,"R",14,"R",0,"R",74,"R",0,"R",1,"R",10,"R",14
