UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
101277,"R",75,"R",0,"R",75,"R",18,"R",44,"Z",0,"R",0,"R",31,"R",34,"Z",0,"R",34,"R",16,"R",6,"Z",0,"R",6,"R",4,"R",35,"Z",0,"R",35,"R",24
102711,"R",84,"R",0,"R",84,"R",72,"R",72,"R",0,"R",0,"R",12,"R",31,"Z",0,"R",31,"R",31,"R",2,"Z",0,"R",2,"R",2,"R",51,"Z",0,"R",51,"R",39
103741,"R",56,"R",0,"R",56,"R",1,"R",32,"R",0,"R",0,"R",24,"R",53,"Z",0,"R",53,"R",30,"R",1,"Z",0,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",1
103954,"R",7,"R",0,"R",7,"R",4,"R",4,"R",0,"R",0,"R",3,"R",7,"Z",0,"R",7,"R",4,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
104391,"R",35,"R",0,"R",35,"R",6,"R",26,"R",0,"R",1,"R",8,"R",18,"Z",0,"R",18,"R",18,"R",5,"Z",0,"R",5,"R",5,"R",12,"Z",0,"R",12,"R",3
104443,"R",22,"R",0,"R",22,"R",1,"R",8,"R",0,"R",0,"R",14,"R",18,"Z",0,"R",18,"R",7,"R",1,"Z",0,"R",1,"R",0,"R",3,"Z",0,"R",3,"R",1
104568,"R",176,"R",0,"R",176,"R",81,"R",114,"R",0,"R",0,"R",62,"R",75,"Z",0,"R",75,"R",34,"R",9,"Z",0,"R",9,"R",8,"R",92,"Z",0,"R",92,"R",72
105677,"R",20,"R",0,"R",20,"R",19,"R",19,"R",0,"R",0,"R",1,"R",3,"Z",0,"R",3,"R",2,"R",5,"Z",0,"R",5,"R",5,"R",12,"Z",0,"R",12,"R",12
106315,"R",2,"R",0,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
106324,"R",23,"R",0,"R",23,"R",7,"R",11,"R",0,"R",1,"R",11,"R",11,"Z",0,"R",11,"R",9,"R",1,"Z",0,"R",1,"R",1,"R",11,"Z",0,"R",11,"R",1
106351,"R",1,"R",0,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",1,"Z",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0
106360,"R",19,"R",0,"R",19,"R",3,"R",12,"R",4,"R",3,"R",0,"R",16,"Z",0,"R",16,"R",10,"R",1,"Z",0,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",1
106494,"R",20,"R",0,"R",20,"R",2,"R",10,"R",1,"Z",0,"R",9,"R",19,"Z",0,"R",19,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
106908,"R",104,"R",0,"R",104,"R",5,"R",65,"R",0,"R",1,"R",38,"R",74,"Z",0,"R",74,"R",39,"R",11,"Z",0,"R",11,"R",8,"R",19,"Z",0,"R",19,"R",18
107099,"R",19,"Z",0,"R",19,"R",0,"R",16,"R",0,"R",0,"R",3,"R",16,"Z",0,"R",16,"R",13,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0
107220,"R",81,"R",0,"R",81,"R",29,"R",52,"R",0,"R",0,"R",29,"R",71,"Z",0,"R",71,"R",45,"R",5,"Z",0,"R",5,"R",4,"R",5,"Z",0,"R",5,"R",3
107293,"R",30,"R",0,"R",30,"R",0,"R",16,"R",0,"R",0,"R",14,"R",30,"Z",0,"R",30,"R",16,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
107442,"R",13,"Z",0,"R",13,"Z",0,"R",6,"Z",0,"Z",0,"R",7,"R",13,"Z",0,"R",13,"R",6,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
107488,"R",172,"R",0,"R",172,"R",7,"R",120,"R",2,"R",48,"R",2,"R",58,"Z",0,"R",58,"R",58,"R",0,"Z",0,"R",0,"R",0,"R",114,"Z",0,"R",114,"R",62
107655,"R",16,"R",0,"R",16,"R",1,"R",7,"R",0,"R",1,"R",8,"R",13,"Z",0,"R",13,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",2
107789,"R",42,"R",0,"R",42,"R",2,"R",27,"Z",0,"Z",0,"R",15,"R",25,"Z",0,"R",25,"R",15,"R",8,"Z",0,"R",8,"R",5,"R",9,"Z",0,"R",9,"R",7
107831,"R",18,"R",1,"R",17,"R",1,"R",6,"R",0,"R",0,"R",11,"R",15,"R",1,"R",14,"R",4,"R",2,"R",0,"R",2,"R",1,"R",1,"R",0,"R",1,"R",1
108065,"R",14,"R",0,"R",14,"R",4,"R",10,"R",1,"R",0,"R",3,"R",14,"Z",0,"R",14,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
108977,"R",30,"Z",0,"R",30,"R",4,"R",12,"Z",0,"Z",0,"R",18,"R",24,"Z",0,"R",24,"R",9,"R",2,"Z",0,"R",2,"R",1,"R",4,"Z",0,"R",4,"R",2
109721,"R",252,"R",0,"R",252,"R",196,"R",207,"R",0,"R",0,"R",45,"R",232,"Z",0,"R",232,"R",206,"R",0,"Z",0,"R",0,"R",0,"R",20,"Z",0,"R",20,"R",1
109730,"R",37,"R",0,"R",37,"R",19,"R",24,"R",0,"R",1,"R",12,"R",36,"Z",0,"R",36,"R",24,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",0
110194,"R",190,"R",0,"R",190,"R",152,"R",166,"R",0,"R",0,"R",24,"R",152,"Z",0,"R",152,"R",132,"R",27,"Z",0,"R",27,"R",26,"R",11,"Z",0,"R",11,"R",8
110875,"R",18,"R",0,"R",18,"R",17,"R",17,"R",0,"R",1,"R",0,"R",14,"Z",0,"R",14,"R",14,"R",1,"Z",0,"R",1,"R",1,"R",3,"Z",0,"R",3,"R",2
