UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
100654, 1,"R",1000,"R",2,"R",998,"R",246,"R",0,"R",246,"R",123,"R",0,"R",123,"R",48,"R",0,"R",48,"R",284,"R",1,"R",283,"R",82,"R",0,"R",82,"R",1407,"R",3,"R",1404,"R",376,"R",0,"R",376
100654, 2,"R",1000,"R",2,"R",998,"R",246,"R",0,"R",246,"R",123,"R",0,"R",123,"R",48,"R",0,"R",48,"R",284,"R",1,"R",283,"R",82,"R",0,"R",82,"R",1407,"R",3,"R",1404,"R",376,"R",0,"R",376
100663, 1,"R",778,"R",2,"R",776,"R",424,"R",10,"R",434,"R",271,"R",0,"R",271,"R",161,"R",2,"R",163,"R",899,"R",1,"R",898,"R",652,"R",4,"R",656,"R",1948,"R",3,"R",1945,"R",1237,"R",16,"R",1253
100663, 2,"R",768,"R",2,"R",766,"R",424,"R",1,"R",425,"R",268,"R",0,"R",268,"R",161,"R",1,"R",162,"R",895,"R",1,"R",894,"R",652,"R",0,"R",652,"R",1931,"R",3,"R",1928,"R",1237,"R",2,"R",1239
100663, 3,"R",10,"Z",0,"R",10,"Z",0,"R",9,"R",9,"R",3,"Z",0,"R",3,"Z",0,"R",1,"R",1,"R",4,"Z",0,"R",4,"Z",0,"R",4,"R",4,"R",17,"R",0,"R",17,"R",0,"R",14,"R",14
100690, 1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1
100690, 2,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",1,"R",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1
100706, 1,"R",242,"R",0,"R",242,"R",122,"R",0,"R",122,"R",163,"R",0,"R",163,"R",80,"R",0,"R",80,"R",788,"R",0,"R",788,"R",549,"R",0,"R",549,"R",1193,"R",0,"R",1193,"R",751,"R",0,"R",751
100706, 2,"R",242,"Z",0,"R",242,"R",122,"R",0,"R",122,"R",163,"Z",0,"R",163,"R",80,"R",0,"R",80,"R",788,"Z",0,"R",788,"R",549,"R",0,"R",549,"R",1193,"R",0,"R",1193,"R",751,"R",0,"R",751
100724, 1,"R",868,"R",0,"R",868,"R",230,"R",0,"R",230,"R",80,"R",0,"R",80,"R",20,"R",0,"R",20,"R",195,"R",0,"R",195,"R",67,"R",0,"R",67,"R",1143,"R",0,"R",1143,"R",317,"R",0,"R",317
