UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",258,"R",40,"R",41,"R",53,"R",21,"R",0,"R",103
100654,10,"R",253,"R",40,"R",41,"R",53,"R",21,"R",0,"R",98
100654,20,"R",80,"R",39,"R",29,"R",9,"R",0,"R",0,"R",3
100654,30,"R",39,"R",0,"R",4,"R",21,"R",3,"R",0,"R",11
100654,40,"R",134,"R",1,"R",8,"R",23,"R",18,"R",0,"R",84
100654,42,"R",134,"R",1,"R",8,"R",23,"R",18,"R",0,"R",84
100654,50,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5
100663, 0,"R",2671,"R",772,"R",720,"R",975,"R",204,"R",0,"R",0
100663,10,"R",2671,"R",772,"R",720,"R",975,"R",204,"R",0,"R",0
100663,20,"R",899,"R",602,"R",296,"R",1,"R",0,"R",0,"R",0
100663,30,"R",554,"R",12,"R",128,"R",414,"R",0,"R",0,"R",0
100663,40,"R",1218,"R",158,"R",296,"R",560,"R",204,"R",0,"R",0
100663,42,"R",1218,"R",158,"R",296,"R",560,"R",204,"R",0,"R",0
100690, 0,"R",32,"R",12,"R",12,"R",7,"R",1,"R",0,"R",0
100690,10,"R",32,"R",12,"R",12,"R",7,"R",1,"R",0,"R",0
100690,40,"R",32,"R",12,"R",12,"R",7,"R",1,"R",0,"R",0
100690,42,"R",24,"R",8,"R",11,"R",5,"R",0,"R",0,"R",0
100690,43,"R",8,"R",4,"R",1,"R",2,"R",1,"R",0,"R",0
100706, 0,"R",358,"R",77,"R",86,"R",102,"R",16,"R",77,"R",0
100706,10,"R",358,"R",77,"R",86,"R",102,"R",16,"R",77,"R",0
100706,20,"R",154,"R",75,"R",78,"R",1,"R",0,"R",0,"R",0
100706,30,"R",62,"R",0,"R",2,"R",60,"R",0,"R",0,"R",0
100706,40,"R",142,"R",2,"R",6,"R",41,"R",16,"R",77,"R",0
100706,41,"R",125,"R",2,"R",6,"R",37,"R",13,"R",67,"R",0
100706,42,"R",17,"R",0,"R",0,"R",4,"R",3,"R",10,"R",0
100706,44,"R",125,"R",2,"R",6,"R",37,"R",13,"R",67,"R",0
100724, 0,"R",211,"R",60,"R",53,"R",62,"R",33,"R",0,"R",3
100724,10,"R",208,"R",60,"R",53,"R",62,"R",33,"R",0,"R",0
100724,20,"R",104,"R",60,"R",40,"R",4,"R",0,"R",0,"R",0
100724,30,"R",60,"R",0,"R",11,"R",49,"R",0,"R",0,"R",0
100724,40,"R",44,"R",0,"R",2,"R",9,"R",33,"R",0,"R",0
100724,42,"R",44,"R",0,"R",2,"R",9,"R",33,"R",0,"R",0
100724,50,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
100751, 0,"R",1583,"R",330,"R",409,"R",478,"R",366,"R",0,"R",0
100751,10,"R",1583,"R",330,"R",409,"R",478,"R",366,"R",0,"R",0
100751,20,"R",621,"R",295,"R",323,"R",3,"R",0,"R",0,"R",0
100751,30,"R",360,"R",19,"R",23,"R",318,"R",0,"R",0,"R",0
100751,40,"R",602,"R",16,"R",63,"R",157,"R",366,"R",0,"R",0
100751,42,"R",597,"R",15,"R",63,"R",156,"R",363,"R",0,"R",0
100751,43,"R",5,"R",1,"R",0,"R",1,"R",3,"R",0,"R",0
100760, 0,"R",44,"R",0,"R",0,"R",0,"R",0,"R",0,"R",44
