UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",481,"R",28234832,"R",5,"R",376519,"Z",0,"Z",0,"R",9,"R",457605,"R",76,"R",8198896,"R",23,"R",1249813,"R",31,"R",1819542,"R",106,"R",6054560,"R",4,"R",277039,"R",51,"R",1915874,"R",1,"R",47300,"R",149,"R",6622155,"R",15,"R",684572,"R",11,"R",530957
100663,"R",3334,"R",221798595,"Z",0,"Z",0,"Z",0,"Z",0,"R",177,"R",10961323,"R",355,"R",44432650,"R",654,"R",43246691,"R",558,"R",43426189,"R",245,"R",16260076,"R",101,"R",6769854,"R",512,"R",20737336,"Z",0,"Z",0,"R",389,"R",17340162,"R",273,"R",15057062,"R",70,"R",3567252
100690,"R",31,"R",2847864,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",618868,"Z",0,"Z",0,"R",7,"R",1038845,"R",5,"R",378815,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",663986,"R",2,"R",147350,"Z",0,"Z",0
100706,"R",1120,"R",83866257,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1099311,"R",106,"R",15029038,"R",102,"R",6144213,"R",502,"R",44242812,"R",106,"R",5175582,"R",3,"R",257829,"R",108,"R",4398158,"Z",0,"Z",0,"R",162,"R",7156909,"R",6,"R",362405,"Z",0,"Z",0
100724,"R",553,"R",31179146,"R",3,"R",156500,"Z",0,"Z",0,"R",114,"R",5584577,"R",45,"R",5674459,"R",37,"R",2259917,"R",42,"R",3042936,"R",91,"R",5475855,"R",8,"R",376039,"R",85,"R",3061028,"R",6,"R",286684,"R",86,"R",3658208,"R",32,"R",1466799,"R",4,"R",136144
100733,"R",89,"R",13842028,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",5435480,"R",19,"R",2105577,"R",1,"R",82500,"R",22,"R",4286994,"Z",0,"Z",0,"R",2,"R",104314,"Z",0,"Z",0,"R",26,"R",1827163,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4568,"R",299022377,"R",64,"R",7610606,"Z",0,"Z",0,"R",185,"R",9496849,"R",598,"R",75059123,"R",609,"R",41194016,"R",476,"R",32500799,"R",591,"R",41499594,"R",239,"R",14556798,"R",659,"R",27671981,"R",26,"R",868291,"R",778,"R",29556590,"R",229,"R",13850417,"R",114,"R",5157313
100760,"R",68,"R",4667044,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",218432,"R",20,"R",2054739,"R",6,"R",371654,"R",2,"R",92237,"R",3,"R",192149,"Z",0,"Z",0,"R",11,"R",500255,"Z",0,"Z",0,"R",23,"R",1237578,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",159,"R",11211605,"Z",0,"Z",0,"Z",0,"Z",0,"R",36,"R",2437683,"R",40,"R",4452012,"R",16,"R",934833,"R",12,"R",784448,"R",18,"R",925267,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1105702,"R",12,"R",571660,"Z",0,"Z",0
100830,"R",332,"R",20085533,"Z",0,"Z",0,"Z",0,"Z",0,"R",21,"R",1101720,"R",91,"R",8754131,"R",23,"R",1148523,"R",40,"R",2703150,"R",48,"R",2151688,"R",4,"R",243410,"R",26,"R",1005430,"R",1,"R",37950,"R",76,"R",2861731,"Z",0,"Z",0,"R",2,"R",77800
