UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
100654,"R",221,"R",1173387,"R",5309,"R",13,"R",100324,"R",7717,"R",234,"R",1273711,"R",5443,"R",7,"R",29702,"R",4243,"R",2,"R",6000,"R",3000,"R",9,"R",35702,"R",3967
100663,"R",264,"R",2243724,"R",8499,"R",159,"R",1682377,"R",10581,"R",423,"R",3926101,"R",9282,"R",25,"R",70250,"R",2810,"R",12,"R",23474,"R",1956,"R",37,"R",93724,"R",2533
100690,"R",5,"R",28990,"R",5798,"R",18,"R",123990,"R",6888,"R",23,"R",152980,"R",6651,"R",6,"R",16000,"R",2667,"R",23,"R",62750,"R",2728,"R",29,"R",78750,"R",2716
100706,"R",285,"R",2264421,"R",7945,"R",58,"R",435150,"R",7503,"R",343,"R",2699571,"R",7870,"R",13,"R",41750,"R",3212,"R",8,"R",17250,"R",2156,"R",21,"R",59000,"R",2810
100724,"R",94,"R",413384,"R",4398,"R",11,"R",63409,"R",5764,"R",105,"R",476793,"R",4541,"R",6,"R",14250,"R",2375,"R",0,"R",0,"A",,"R",6,"R",14250,"R",2375
100751,"R",823,"R",8772213,"R",10659,"R",131,"R",849317,"R",6483,"R",954,"R",9621530,"R",10085,"R",38,"R",111430,"R",2932,"R",12,"R",23250,"R",1938,"R",50,"R",134680,"R",2694
100760,"R",6,"R",22453,"R",3742,"A",,"A",,"A",,"R",6,"R",22453,"R",3742,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
100812,"R",54,"R",219753,"R",4070,"R",5,"R",15943,"R",3189,"R",59,"R",235696,"R",3995,"R",8,"R",12597,"R",1575,"R",7,"R",16100,"R",2300,"R",15,"R",28697,"R",1913
100830,"R",139,"R",934989,"R",6727,"R",33,"R",158022,"R",4789,"R",172,"R",1093011,"R",6355,"R",27,"R",90500,"R",3352,"R",12,"R",41809,"R",3484,"R",39,"R",132309,"R",3393
100858,"R",688,"R",7541962,"R",10962,"R",147,"R",1999152,"R",13600,"R",835,"R",9541114,"R",11426,"R",20,"R",69672,"R",3484,"R",25,"R",56200,"R",2248,"R",45,"R",125872,"R",2797
100937,"R",17,"R",291765,"R",17163,"A",,"A",,"A",,"R",17,"R",291765,"R",17163,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101028,"R",53,"R",148757,"R",2807,"A",,"A",,"A",,"R",53,"R",148757,"R",2807,"R",5,"R",5904,"R",1181,"A",,"A",,"A",,"R",5,"R",5904,"R",1181
101116,"R",13,"R",126653,"R",9743,"R",1,"R",2677,"R",2677,"R",14,"R",129330,"R",9238,"R",1,"R",516,"R",516,"R",0,"R",0,"A",,"R",1,"R",516,"R",516
101143,"R",63,"R",215479,"R",3420,"A",,"A",,"A",,"R",63,"R",215479,"R",3420,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101161,"R",108,"R",305595,"R",2830,"A",,"A",,"A",,"R",108,"R",305595,"R",2830,"R",8,"R",12480,"R",1560,"A",,"A",,"A",,"R",8,"R",12480,"R",1560
101189,"R",144,"R",671985,"R",4667,"R",100,"R",614439,"R",6144,"R",244,"R",1286424,"R",5272,"R",11,"R",7480,"R",680,"R",5,"R",6013,"R",1203,"R",16,"R",13493,"R",843
101240,"R",42,"R",140919,"R",3355,"A",,"A",,"A",,"R",42,"R",140919,"R",3355,"R",3,"R",4123,"R",1374,"A",,"A",,"A",,"R",3,"R",4123,"R",1374
101277,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101286,"R",64,"R",222791,"R",3481,"A",,"A",,"A",,"R",64,"R",222791,"R",3481,"R",9,"R",11318,"R",1258,"A",,"A",,"A",,"R",9,"R",11318,"R",1258
101295,"R",191,"R",850731,"R",4454,"A",,"A",,"A",,"R",191,"R",850731,"R",4454,"R",8,"R",20981,"R",2623,"A",,"A",,"A",,"R",8,"R",20981,"R",2623
101301,"R",5,"R",12719,"R",2544,"A",,"A",,"A",,"R",5,"R",12719,"R",2544,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101365,"R",30,"R",143537,"R",4785,"R",3,"R",17375,"R",5792,"R",33,"R",160912,"R",4876,"R",8,"R",28625,"R",3578,"R",0,"R",0,"A",,"R",8,"R",28625,"R",3578
101435,"R",29,"R",644842,"R",22236,"R",1,"R",13732,"R",13732,"R",30,"R",658574,"R",21952,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101453,"R",1,"R",10771,"R",10771,"R",1,"R",5325,"R",5325,"R",2,"R",16096,"R",8048,"R",0,"R",0,"A",,"R",1,"R",3618,"R",3618,"R",1,"R",3618,"R",3618
101462,"R",31,"R",89393,"R",2884,"A",,"A",,"A",,"R",31,"R",89393,"R",2884,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101471,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101480,"R",99,"R",695107,"R",7021,"R",31,"R",110288,"R",3558,"R",130,"R",805395,"R",6195,"R",6,"R",15500,"R",2583,"R",1,"R",2250,"R",2250,"R",7,"R",17750,"R",2536
101505,"R",80,"R",254816,"R",3185,"A",,"A",,"A",,"R",80,"R",254816,"R",3185,"R",2,"R",978,"R",489,"A",,"A",,"A",,"R",2,"R",978,"R",489
101514,"R",145,"R",392372,"R",2706,"A",,"A",,"A",,"R",145,"R",392372,"R",2706,"R",1,"R",861,"R",861,"A",,"A",,"A",,"R",1,"R",861,"R",861
101569,"R",35,"R",93212,"R",2663,"A",,"A",,"A",,"R",35,"R",93212,"R",2663,"R",2,"R",1678,"R",839,"A",,"A",,"A",,"R",2,"R",1678,"R",839
101587,"R",34,"R",145069,"R",4267,"R",53,"R",299579,"R",5652,"R",87,"R",444648,"R",5111,"R",8,"R",29700,"R",3713,"R",4,"R",6000,"R",1500,"R",12,"R",35700,"R",2975
101602,"R",22,"R",56888,"R",2586,"A",,"A",,"A",,"R",22,"R",56888,"R",2586,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101648,"R",5,"R",34817,"R",6963,"A",,"A",,"A",,"R",5,"R",34817,"R",6963,"R",1,"R",4000,"R",4000,"A",,"A",,"A",,"R",1,"R",4000,"R",4000
101675,"R",14,"R",121462,"R",8676,"A",,"A",,"A",,"R",14,"R",121462,"R",8676,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101693,"R",14,"R",174106,"R",12436,"R",2,"R",20425,"R",10213,"R",16,"R",194531,"R",12158,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101709,"R",71,"R",318145,"R",4481,"R",1,"R",8926,"R",8926,"R",72,"R",327071,"R",4543,"R",13,"R",31519,"R",2425,"R",0,"R",0,"A",,"R",13,"R",31519,"R",2425
101736,"R",29,"R",88907,"R",3066,"A",,"A",,"A",,"R",29,"R",88907,"R",3066,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
