 2023-24 Survey Materials: Glossary  ," Date: 07-18-2023"
Term,Definition,Related Item 
"11/12 month salary contract/teaching period","<P>The contracted teaching period of faculty employed for the entire year, usually for a period of 11 or 12 months.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"12-month Enrollment (E12)","This annual component of IPEDS collects unduplicated student enrollment counts and instructional activity data for an entire 12-month period. These data were collected in the Enrollment component prior to the 2007 IPEDS data collection. Institutions report an unduplicated head count for the total number of students, by gender, attendance status (full-time, part-time), race/ethnicity, level (undergraduate and graduate, including doctor’s – professional practice), first-time (entering), transfer-in (non-first-time entering), continuing/returning, and degree/certificate-seeking statuses,  enrolled throughout the reporting period. Students included are those enrolled in any courses for credit leading to a degree or other recognized postsecondary credential, as well as those enrolled in courses that are part of a terminal vocational or occupational program. Institutions also report the total instructional activity for the same 12-month period for both undergraduate and graduate programs. Instructional activity data are reported in units of clock hours or credit hours. Starting with the 2023-24 data collection, institutions will also report data on dual enrollment.",""
"12-month period","A 12-month period defined by an institution for reporting a full year of activity (All institutions must use the July 1 - June 30 reporting period). This time period should be consistent across all IPEDS data collections and from year-to-year.",""
"25th percentile","The score at or below which 25 percent of students submitting test scores to an institution scored.",""
"3/2 program","A program of study that normally requires the first 3 years of undergraduate study at one institution and the last 2 years of study at another institution in order to attain a bachelor's degree. These programs are predefined by the institutions and are normally offered when an institution is unable to grant a degree in a particular field or program of study.&nbsp; &nbsp;22",""
"4-1-4  (calendar system)","The 4-1-4 calendar usually consists of 4 courses taken for 4 months, 1 course taken for 1 month, and 4 courses taken for 4 months. There may be an additional summer session.",""
"5-year program","A program offered by an institution that is defined in the catalog as requiring a student to take courses over a 5-year period in order to attain a bachelor's degree. These include, but are not limited to, 5-year cooperative programs which alternate class attendance with employment.",""
"50th percentile (median)","The score at which 50 percent of students submitting test scores to an institution scored above and 50 percent scored below (i.e., midpoint of the test score distribution).",""
"75th percentile","The score above which 25 percent of  students submitting test scores to an institution scored.",""
"9/10-month salary contract/teaching period","<P>The contracted teaching period of faculty employed for 2 semesters, 3 quarters, 2 trimesters, 2 4-month sessions, or the equivalent.</P><P>(Term used in the IPEDS HR survey component prior to 2012-13)</P>",""
"Abroad","Any geographic location not in the aggregate United States, which includes the 50 states, the District of Columbia, and the other areas.",""
"Academic Libraries (AL)","This annual component of IPEDS collects information on library collections, expenses, and services from degree-granting postsecondary institutions. Institutions with library expenses less than $100,000 annually report their collections and circulation or usage to IPEDS. Specific library collection items include physical and electronic/digital books, media, and databases (applicable to electronic only). Institutions with library expenses equal to or greater than $100,000 annually report both their collections and circulation or usage and details about their expenses to IPEDS. Detail expense categories include library salaries and wages, fringe benefits, materials and services costs, and operations and maintenance costs.",""
"Academic Library","An entity in a postsecondary institution that provides an organized collection of printed or other materials, or a combination thereof; a staff trained to provide and interpret such materials as required to meet the informational, cultural, recreational, or educational needs of the clientele; an established schedule in which services of the staff are available to the clientele; an established schedule in which services of the staff are available to the clientele; and the physical facilities necessary to support such a collection, staff, and schedule. This definition includes libraries that are part of learning resource centers.",""
"Academic program","An instructional program leading toward an associate's, bachelor's, master's, doctor's, or resulting in credits that can be applied to one of these degrees.",""
"Academic Rank","A status designated by the institution according to the institution's policies. The IPEDS HR survey component includes the ranks of Professor, Associate Professor, Assistant Professor, Instructor, and Lecturer.",""
"Academic support","A functional expense category that includes expenses of activities and services that support the institution's primary missions of instruction, research, and public service. It includes the retention, preservation, and display of educational materials (for example, libraries, museums, and galleries); organized activities that provide support services to the academic functions of the institution (such as a demonstration school associated with a college of education or veterinary and dental clinics if their primary purpose is to support the instructional program); media such as audiovisual services; academic administration (including academic deans but not department chairpersons); and formally organized and/or separately budgeted academic personnel development and course and curriculum development expenses. Also included are information technology expenses related to academic support activities; if an institution does not separately budget and expense information technology resources, the costs associated with the three primary programs will be applied to this function and the remainder to institutional support. Institutions include actual or allocated costs for operation and maintenance of plant, interest, and depreciation.",""
"Academic year","The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 calendar system.",""
"Accelerated programs","Completion of a college program of study in fewer than the usual number of years, most often by attending summer session  and carrying extra courses during the full academic term.",""
"Access rights","Access rights may be acquired by the library itself, by a consortium and/or through external funding. Acquisition is to be understood as deliberately selecting a document, securing access rights and including it in the OPAC (online public access catalog) or other databases of the library. Interlibrary lending and document delivery are excluded.",""
"Accrediting agencies","Organizations (or bodies) that establish operating standards for educational or professional institutions and programs, determine the extent to which the standards are met, and publicly announce their findings.",""
"Accrediting bodies","See accrediting agencies","Accrediting agencies"
"Accumulated depreciation","The total depreciation charged as expenses as of the reporting date (in the current year and in prior years) on the capital assets of the institution. FASB Statement No. 117 and GASB Statement No. 34 require that accumulated depreciation to date be recognized.",""
"ACT","ACT, previously known as the American College Testing program,  measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness.",""
"Additions to permanent endowments","Gifts or grants received by a GASB institution that are restricted to a permanent endowment (institutions often have endowment funds that are classified as permanent endowments). Funds must be held in perpetuity with only the income generally available for use.",""
"Additions to physical plant assets","Land, buildings,  improvements other than buildings, equipment,  and library books that are added during the fiscal year through purchases, by gifts-in-kind from donors, and from other additions; excludes construction in progress.",""
"Adjunct instructional staff","Non-tenure track&nbsp;instructional staff serving in a temporary or auxiliary capacity to teach specific courses on a course-by-course basis. Includes both instructional staff who are hired to teach an academic degree-credit course and those hired to teach a developmental or ESL course; whether the latter three categories earn college credit is immaterial. Excludes regular part-time instructional staff (who, unlike adjuncts are not paid on a course-by-course basis), graduate assistants, full-time professional staff of the institution who may teach individual courses (such as a dean or academic advisor), and appointees who teach noncredit courses exclusively.",""
"Adjusted cohort","The result of removing any allowable exclusions from a cohort (or subcohort). For the&nbsp;Fall Enrollment<span>&nbsp;component, it is the cohort for calculating retention rate; for</span>&nbsp;the Graduation Rates component, this is the cohort from which graduation and transfer-out rates are calculated; and for the Outcome Measures component, these are the four cohorts (first-time, full-time;&nbsp;first-time, part-time; non-first-time, full-time; or non-first-time, part-time) for which outcomes rates are calculated at 4,&nbsp;6, and 8 years.",""
